Member type ,Sector/department ,Headquarters/location (user & org)
Global Partner,Agriculture,UK
Corporate,Automotive and Transport Manufacturing,USA
Pioneer University,Built environment,Brazil
Government & Cities,Chemicals,Australia
Emerging Innovator,EEE & ICT,Netherlands
Affiliate,Energy,Denmark
SME/Multiplier,Financial services and investment,France
,FMCG ,Switzerland
,Furniture and textile and flooring,Sweden
,Research and professional services,Italy
,Manufacturing ,Spain
,Sustainability,Luxembourg
,Education,Belgium
,Retail,Republic of Ireland 
,Telecommunications,UAE
,Public administration,China
,Non Profit,Taiwan
,Transport and logistics,Germany
,Software & online services,Mexico
,,Iceland
,,Global
